,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Lot No.,Kilometers
2015,"Rs. 2,50,000",Used,24/5/2016,562,,Standard,2014,Yamaha,Alba,153,22,25000
2016,Rs. 3.00,Used,24/5/2016,492,Dharan,Sportsbike,2014,Yamaha,R15,153,22,25000
2017,"Rs. 2,90,000",Used,22/5/2016,400,Bharatpur,Sportsbike,2015,Yamaha,R15,150,35,2700
2018,"Rs. 2,70,000",Used,20/5/2016,426,Kathmandu,Sportsbike,2014,Yamaha,R15,150,66,6005
2019,"Rs. 1,80,000",Used,20/5/2016,305,Kathmandu,Sportsbike,2016,Yamaha,R15,150,51,29000
2020,"Rs. 1,25,000",Used,14/5/2016,94,Lekhnath,Sportsbike,2011,Yamaha,Fazer,153,6,28000
2021,"Rs. 1,50,000",Used,12/5/2016,173,Ratnanagar,Scooter,2015,Yamaha,Ray Z,113,37,1400
2022,"Rs. 1,25,000",Used,5/5/2016,478,Kathmandu,Sportsbike,2010,Yamaha,R15,150,39,46000
2023,"Rs. 2,10,000",Used,3/5/2016,493,Bhairahawa,Sportsbike,2012,Yamaha,R15,150,54,12860
2024,"Rs. 2,75,000",Used,1/5/2016,539,Kathmandu,Sportsbike,2013,Yamaha,R15,150,59,18000
2025,"Rs. 1,85,000",Used,29/4/2016,250,Kathmandu,Sportsbike,2013,Yamaha,R15,150,50,31000
2026,"Rs. 2,15,000",Used,26/4/2016,539,Lalitpur,Sportsbike,2012,Yamaha,R15,149,51,14000
2027,"Rs. 2,15,000",Used,19/4/2016,830,Kathmandu,Sportsbike,2015,Yamaha,FZ-S,149,67,6500
2028,"Rs. 2,90,000",Used,12/4/2016,275,Bhaktapur,Standard,2014,Yamaha,Alba,150,69,6700
2029,"Rs. 2,90,000",Used,12/4/2016,155,Bhaktapur,Standard,2014,Yamaha,Alba,150,59,6700
2030,"Rs. 1,35,000",Used,11/4/2016,551,Kathmandu,Scooter,2015,Yamaha,Ray Z,113,68,3700
2031,"Rs. 3,00,000",Used,7/4/2016,911,Taulihawa,Sportsbike,2016,Yamaha,R15S,150,5,3800
2032,"Rs. 95,000",Used,5/4/2016,522,Kathmandu,Sportsbike,2012,Yamaha,FZ-S,153,42,50000
2033,"Rs. 3,00,000",Used,4/4/2016,947,Narayanghat,Sportsbike,2015,Yamaha,R15,150,35,2500
