,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Colour,Lot No.,Kilometers,Warranty
1426,Contact Seller,Used,14/3/2016,514,Kathmandu,Sportsbike,2016,KTM,Duke 390,373,White,67,10100,1years left
1427,"Rs. 5,15,000",Used,14/3/2016,61,Kathmandu,Sportsbike,2015,KTM,Duke 390,373,white,67,10100,1 years still left
1428,"Rs. 4,10,000",Used,13/3/2016,593,Pokhara,Sportsbike,2014,KTM,Duke 200,390,White,60,13000,No
1429,"Rs. 3,95,000",Used,10/3/2016,2704,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,White,60,10500,Company
1430,"Rs. 3,05,000",Used,24/8/2016,630,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,White,63,18000,
1431,"Rs. 3,80,000",Used,5/3/2016,3889,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,white/orange,65,5400,
1432,"Rs. 5,70,000",Used,25/2/2016,2710,Kathmandu,Sportsbike,2015,KTM,RC 390,390,Black n white with orange ring and chasis,70,5000,6month
1433,"Rs. 4,10,000",Used,3/2/2016,1323,Kathmandu,Sportsbike,2013,KTM,Duke 390,375,white and orange,60,23000,
1434,"Rs. 3,10,000",Used,16/1/2016,1706,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,White,56,29000,
1435,"Rs. 5,80,000",Used,9/1/2016,463,Kathmandu,Sportsbike,2015,KTM,RC 390,390,white and Orange,58,4000,company
1436,"Rs. 6,30,000",Used,5/1/2016,441,Butwal,Sportsbike,2015,KTM,RC 390,390,White,69,1200,Company
1437,"Rs. 6,00,000",Used,7/9/2016,3608,Hetauda,Sportsbike,2016,KTM,Duke 390,390,black,38,2000,2 years
1438,"Rs. 3,25,000",Used,7/12/2015,539,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,orange,62,22000,still available on wiring & battery
1439,"Rs. 5,10,000",Used,29/11/2015,120,Kathmandu,Sportsbike,2015,KTM,Duke 200,390,White,69,2500,Company
1440,"Rs. 3,50,000",Used,24/11/2015,173,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Black,62,4000,
1441,Contact Seller,Used,16/11/2015,1532,Narayanghat,Sportsbike,2015,KTM,RC 390,390,black and white,71,250,no warranty
1442,"Rs. 6,45,000",Used,15/11/2015,586,Kathmandu,Sportsbike,2015,KTM,Duke 200,390,White and black,69,750,Full co.
1443,"Rs. 2,80,000",Used,8/10/2015,9724,Butwal,Sportsbike,2012,KTM,Duke 200,200,Black n. White,22,33000,No. Warranty
1444,"Rs. 5,00,000",Used,29/9/2015,3717,Kathmandu,Sportsbike,2014,KTM,Duke 390,373,White,60,8500,
1445,"Rs. 3,60,000",Used,24/9/2015,748,Pokhara,Sportsbike,2015,KTM,Duke 200,200,Orange,9,1300,
1446,"Rs. 2,45,000",Used,24/9/2015,3005,Hetauda,Sportsbike,2012,KTM,Duke 200,200,orange,51,24000,
1447,"Rs. 4,90,000",Used,22/9/2015,2413,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,Black,64,6000,
1448,"Rs. 4,80,000",Used,16/9/2015,273,Kathmandu,Sportsbike,2013,KTM,Duke 390,390,white and orange,60,8600,manufacturer
1449,"Rs. 1,50,000",Used,16/9/2015,8683,Lekhnath,Sportsbike,2014,KTM,RC 390,390,black and white,50,5000,
1450,"Rs. 5,00,000",Used,3/9/2015,744,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,wolfpack sticker,60,7500,
1451,"Rs. 3,55,000",Used,9/8/2015,1168,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,White with best sticker,62,8000,
1452,"Rs. 3,90,000",Used,19/7/2015,7969,Pokhara,Sportsbike,2015,KTM,Duke 200,200,Black & White,65,1800,
1453,"Rs. 4,00,000",Used,16/7/2015,107,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Orange &white,65,4000,
1454,"Rs. 2,55,000",Used,9/7/2015,1420,Lalitpur,Sportsbike,2012,KTM,Duke 200,200,Orange,51,16000,
1455,Contact Seller,Used,30/6/2015,1180,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,orange,57,7100,
1456,"Rs. 3,50,000",Used,29/6/2015,1840,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,Orange,57,,
1457,"Rs. 3,75,000",Used,24/6/2015,191,Banepa,Sportsbike,2014,KTM,Duke 200,200,Black & White &Orange,65,7042,
1458,"Rs. 3,50,000",Used,24/6/2015,87,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,white and orange,57,12000,
1459,"Rs. 3,40,000",Used,24/6/2015,963,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,Black,58,8500,
1460,"Rs. 3,65,000",Used,16/6/2015,212,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Black,63,4000,
1461,"Rs. 4,40,000",Used,15/6/2015,1065,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,Black,62,14500,2 Years
1462,"Rs. 4,40,000",Used,9/6/2015,1047,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,White,60,18000,
1463,"Rs. 3,35,000",Used,8/6/2015,258,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Black & White &Orange,61,14000,
1464,"Rs. 3,20,000",Used,1/6/2015,102,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,Red,56,12000,
1465,"Rs. 2,50,000",Used,25/5/2015,706,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,Orange,51,27000,
1466,"Rs. 3,40,000",Used,19/5/2015,1494,Lalitpur,Sportsbike,2013,KTM,Duke 200,200,White,56,14500,
1467,"Rs. 3,95,000",Used,14/5/2015,932,Kathmandu,Sportsbike,2015,KTM,Duke 200,1500,Orange &White &Black,66,1600,
1468,"Rs. 3,40,000",Used,9/4/2015,1589,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Orange &White &Black,59,14550,
1469,"Rs. 4,80,000",Used,3/4/2015,2460,Pokhara,Sportsbike,2015,KTM,RC 200,200,Black,67,600,
1470,"Rs. 3,55,000",Used,27/3/2015,923,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Black & White,61,12000,
1471,"Rs. 3,70,000",Used,26/3/2015,139,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Black,63,6500,
1472,"Rs. 4,50,000",Used,26/3/2015,184,Pokhara,Sportsbike,2014,KTM,Duke 390,390,black,9,10000,company
1473,"Rs. 5,60,000",Used,23/3/2015,556,Lalitpur,Sportsbike,2014,KTM,Duke 390,390,Orange &Black,65,1200,
1474,"Rs. 3,55,000",Used,10/3/2015,1968,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Orange &Black,62,16000,
1475,"Rs. 2,80,000",Used,15/3/2015,935,Lalitpur,Sportsbike,2012,KTM,Duke 200,200,Orange &Black,51,25000,
1476,"Rs. 3,05,000",Used,4/3/2015,4511,,Sportsbike,2012,KTM,Duke 200,200,Orange &White &Black,14,20000,
1477,"Rs. 2,95,000",Used,25/2/2015,1854,Kathmandu,Sportsbike,2011,KTM,Duke 200,200,Orange &Black,51,16000,
1478,"Rs. 4,00,000",Used,24/2/2015,280,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,any,1,5000,
1479,"Rs. 3,50,000",Used,18/2/2015,111,Kathmandu,Sportsbike,2012,KTM,Duke 200,200,Orange,51,13000,no
1480,"Rs. 3,50,000",Used,17/2/2015,2100,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,orange,63,4000,6 mnths
1481,"Rs. 3,15,000",Used,12/2/2015,257,Kathmandu,Sportsbike,2013,KTM,Duke 200,200,Black,56,19000,
1482,"Rs. 5,20,000",Used,12/2/2015,1122,Kathmandu,Sportsbike,2013,KTM,Duke 390,390,Wolfpack,60,,
